,Name,size,MRP,price,url
41,Dr. Reckeweg R65 Psoriasis Drop,bottle of 22 ml Drop,₹270,₹238,/otc/dr.-reckeweg-r65-psoriasis-drop-otc326001
42,SBL Prostonum Drop,bottle of 30 ml Drop,₹160,₹143,/otc/sbl-prostonum-drop-otc329004
43,Dr. Reckeweg R42 Varicosis Drop,bottle of 22 ml Drop,₹270,₹238,/otc/dr.-reckeweg-r42-varicosis-drop-otc326032
44,SBL Nux Vomica Dilution 200 CH,bottle of 30 ml Dilution,₹100,₹86,/otc/sbl-nux-vomica-dilution-200-ch-otc338195
45,SBL Jaborandi Mother Tincture Q,bottle of 30 ml Mother Tincture,₹150,₹123,/otc/sbl-jaborandi-mother-tincture-q-otc338446
46,Dr. Reckeweg R49 Sinus Drop,bottle of 22 ml Drop,₹270,₹238,/otc/dr.-reckeweg-r49-sinus-drop-otc327421
47,Dr. Reckeweg Kali Phosphoricum Biochemic Tablet 6X,bottle of 20 gm Biochemic Tablet,₹185,₹163,/otc/dr.-reckeweg-kali-phosphoricum-biochemic-tablet-6x-otc334909
48,SBL Liv T Tonic,bottle of 180 ml Tonic,₹160,₹133,/otc/sbl-liv-t-tonic-otc328967
49,Bakson's Rheum Aid Tablet,bottle of 200 tablets,₹460,₹373,/otc/bakson-s-rheum-aid-tablet-otc386770
50,SBL Thuja Occidentalis Dilution 200 CH,bottle of 30 ml Dilution,₹105,₹88,/otc/sbl-thuja-occidentalis-dilution-200-ch-otc338170
51,SBL Bio-Combination 6 Tablet,bottle of 25 gm Biocombination Tablet,₹105,₹87,/otc/sbl-bio-combination-6-tablet-otc331025
52,SBL Alfalfa Tonic with Ginseng,bottle of 180 ml Tonic,₹165,₹138,/otc/sbl-alfalfa-tonic-with-ginseng-otc328976
53,Dr. Reckeweg R84 Inhalent Allergy Drop,bottle of 30 ml Drop,₹310,₹273,/otc/dr.-reckeweg-r84-inhalent-allergy-drop-otc326011
54,SBL Chelidonium Majus Mother Tincture Q,bottle of 30 ml Mother Tincture,₹140,₹115,/otc/sbl-chelidonium-majus-mother-tincture-q-otc338503
55,Dr. Reckeweg R82 Anti Fungal Drop,bottle of 30 ml Drop,₹310,₹273,/otc/dr.-reckeweg-r82-anti-fungal-drop-otc326002
56,Bakson's Homoeopathic Formula 'D' Tablet,bottle of 75 tablets,₹215,₹181,/otc/bakson-s-homoeopathic-formula-d-tablet-otc358328
57,SBL Dibonil Drop,bottle of 30 ml Drop,₹130,₹116,/otc/sbl-dibonil-drop-otc327094
58,Bakson's Pilgo Tablet,bottle of 200 tablets,₹460,₹382,/otc/bakson-s-pilgo-tablet-otc386760
59,Dr. Reckeweg R9 Cough Drop,bottle of 22 ml Drop,₹270,₹241,/otc/dr.-reckeweg-r9-cough-drop-otc326072
60,SBL Arnica Montana Dilution 30 CH,bottle of 30 ml Dilution,₹95,₹84,/otc/sbl-arnica-montana-dilution-30-ch-otc338218
61,SBL Rhus Toxicodendron Dilution 200 CH,bottle of 30 ml Dilution,₹100,₹84,/otc/sbl-rhus-toxicodendron-dilution-200-ch-otc338182
62,SBL Hydrastis Canadensis Mother Tincture Q,bottle of 30 ml Mother Tincture,₹425,₹348,/otc/sbl-hydrastis-canadensis-mother-tincture-q-otc338448
63,Allen A84 Lipoma Drop,bottle of 30 ml Drop,₹170,₹150,/otc/allen-a84-lipoma-drop-otc330453
64,SBL Damiagra Forte Drop,bottle of 30 ml Drop,₹400,₹325,/otc/sbl-damiagra-forte-drop-otc385769
65,Dr. Reckeweg R27 Renal Calculi Drop,bottle of 22 ml Drop,₹270,₹238,/otc/dr.-reckeweg-r27-renal-calculi-drop-otc326057
66,Dr. Reckeweg Ashwagandha Mother Tincture Q,bottle of 20 ml Mother Tincture,₹335,₹295,/otc/dr.-reckeweg-ashwagandha-mother-tincture-q-otc327798
67,Dr Willmar Schwabe India Cydonia Vulgaris Mother Tincture Q,bottle of 30 ml Mother Tincture,₹265,₹225,/otc/dr-willmar-schwabe-india-cydonia-vulgaris-mother-tincture-q-otc453360
68,Dr. Reckeweg R16 Migraine and Neuralgia Drop,bottle of 22 ml Drop,₹270,₹238,/otc/dr.-reckeweg-r16-migraine-and-neuralgia-drop-otc326067
